0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,1.8452284,0.0,0.0,0.0,2.1736443,0.0,0.019414444,0.0,0.0,1.0881723,0.0,0.9162413,0.0,0.0,0.0,0.0,3.4896762,0.0,2.1486404,0.64971,4.7976494,0.3722438,0.0,0.94787925,4.493288,0.0,0.60366035,0.5559459,1.1921462,0.0,1.3907627
0.0,1.6779206,0.0,0.0,0.0,3.9607584,0.0,0.0,0.0,0.0,2.2238314,0.0,1.94279,0.0,0.0,0.0,0.0,4.2457314,0.0,3.5869246,1.1259701,5.7111387,0.657234,0.0,0.232725,6.643652,0.0,1.1269524,0.7048728,2.5352254,0.0,2.238504
0.0,0.69584066,0.0,0.0,0.0,4.1761394,0.0,0.0,0.0,0.0,2.2102482,0.0,1.5134912,0.0,0.0,0.0,0.0,5.912804,0.0,4.1508174,1.4581606,6.0291834,0.6614255,0.0,0.43601736,6.8843107,0.0,1.4760923,0.7896673,2.4952555,0.0,2.5089498
0.0,0.9493902,0.0,0.0,0.0,2.5076776,0.0,0.0,0.0,0.0,1.4993255,0.0,1.1626822,0.0,0.0,0.0,0.0,2.3275142,0.0,2.818794,1.1778466,4.6807632,0.21021122,0.0,0.0,5.9076233,0.0,1.1453708,0.69499874,1.4500347,0.0,2.6094058
0.0,0.9011466,0.0,0.0,0.0,3.081787,0.0,0.0,0.0,0.0,2.1365626,0.0,2.3317137,0.0,0.0,0.0,0.0,2.2071412,0.0,3.7029727,1.8224682,3.30557,0.18111865,0.0,0.0,5.472192,0.0,0.6458517,0.50963086,2.1314397,0.0,2.1057193
0.0,2.7695642,0.0,0.0,0.0,3.136049,0.0,0.0,0.0,0.0,1.6836814,0.0,1.4419192,0.0,0.0,0.0,0.0,6.0443816,0.0,3.1586833,0.96954125,6.946264,0.7221706,0.0,2.0882998,6.301656,0.0,0.5147652,0.81039655,1.9400456,0.0,1.4554181
0.0,1.2628746,0.0,0.0,0.0,2.9563465,0.0,0.0,0.0,0.0,1.5497761,0.0,0.8343605,0.0,0.0,0.0,0.0,7.161094,0.0,3.7882197,1.5988088,7.6061525,0.7803028,0.0,1.3883128,7.8336825,0.0,1.3526893,0.97463924,1.7382274,0.0,2.5881484
0.0,0.6616672,0.0,0.0,0.0,3.4655473,0.0,0.0,0.0,0.0,1.9019825,0.0,1.1190885,0.0,0.0,0.0,0.0,4.615563,0.0,3.923818,1.5760216,6.750984,0.4427227,0.0,0.0,8.124913,0.0,1.7928152,0.96144307,1.9518392,0.0,3.6324492
0.0,0.7867084,0.0,0.0,0.0,3.1858528,0.0,0.0,0.0,0.0,1.8798862,0.0,1.4895502,0.0,0.0,0.0,0.0,3.127289,0.0,3.3150477,1.3292667,4.5485234,0.3356959,0.0,0.0,5.9105077,0.0,1.2344431,0.63963133,1.9668393,0.0,2.3482993
0.0,3.0442207,0.0,0.0,0.0,2.682279,0.12374923,0.0,0.0,0.0,1.3355514,0.0,1.2377151,0.0,0.0,0.0,0.0,5.351281,0.0,2.825606,0.92677367,6.93843,0.65458554,0.0,1.8479543,6.2928095,0.0,0.600363,0.899024,1.5833896,0.0,1.5371804
0.0,2.6557817,0.0,0.0,0.0,3.4839098,0.0,0.0,0.0,0.0,2.3108485,0.0,3.1892343,0.0,0.0,0.0,0.0,1.9079857,0.0,3.8475974,1.7758474,5.075879,0.46607444,0.0,0.0,7.2571774,0.0,0.59637666,0.91811794,2.667798,0.0,2.522215
0.0,0.9146435,0.0,0.0,0.0,3.4952967,0.0,0.0,0.0,0.0,2.1060302,0.0,1.8919806,0.0,0.0,0.0,0.0,3.3435888,0.0,3.5616271,1.3736007,4.546242,0.3647198,0.0,0.0,5.9642134,0.0,1.1446666,0.5363176,2.2203686,0.0,2.1897192
0.0,1.6940912,0.0,0.0,0.0,3.9049149,0.0,0.0,0.0,0.0,2.390941,0.0,2.4085495,0.0,0.0,0.0,0.0,3.657745,0.0,3.6079643,1.1824284,4.957138,0.5518754,0.0,0.26664034,6.1240463,0.0,0.8240244,0.46349022,2.641725,0.0,1.9486868
0.0,1.1258574,0.0,0.0,0.0,3.1393342,0.0,0.0,0.0,0.0,2.074173,0.0,2.2376277,0.0,0.0,0.0,0.0,2.554074,0.0,3.3211296,1.3918661,3.7473125,0.30875614,0.0,0.0,5.3633547,0.0,0.71617955,0.4123426,2.1464112,0.0,1.842787
0.0,0.039882667,0.0,0.0,0.0,3.9557633,0.0,0.0,0.0,0.0,2.4392788,0.0,1.7907478,0.0,0.0,0.0,0.0,5.332251,0.0,3.8387377,1.3057286,3.9587896,0.45339766,0.0,0.6622098,5.080807,0.0,0.8930979,0.28459904,2.5485857,0.0,1.6085234
0.0,2.5458744,0.0,0.0,0.0,3.0697134,0.0,0.0,0.0,0.0,1.7231487,0.0,1.8438814,0.0,0.0,0.0,0.0,2.4192176,0.0,2.7721722,0.86142737,5.7025733,0.4472287,0.0,0.0,6.4550085,0.0,0.8525291,0.8246899,1.9375203,0.0,2.3379877
0.0,1.3556507,0.0,0.0,0.0,2.767867,0.0,0.0,0.0,0.0,1.4251403,0.0,0.82052547,0.0,0.0,0.0,0.0,4.9818172,0.0,3.408495,1.3448639,7.132615,0.5434082,0.0,0.1271953,7.704822,0.0,1.4635192,0.97758335,1.4897457,0.0,3.065792
0.0,1.6372601,0.0,0.0,0.0,1.7134554,0.0,0.16793045,0.0,0.0,1.0511384,0.0,0.7182688,0.0,0.0,0.0,0.0,1.9362633,0.0,2.4009664,1.2034681,6.3016334,0.0,0.0,0.0,7.0534353,0.0,1.2720757,0.79844147,0.63885915,0.0,3.3849688
0.0,0.25973105,0.0,0.0,0.0,2.4503794,0.0,0.0,0.0,0.0,1.4322544,0.0,0.98109084,0.0,0.0,0.0,0.0,2.8770185,0.0,2.4038477,0.90123206,3.133583,0.28969616,0.0,0.0,3.9105191,0.0,0.90948004,0.34480163,1.4816545,0.0,1.4761058
